Fighter,Division,Stance,top10_wins,elo_avg,elo_max,years_in_top10,years_champ,ko_percentage,win_percentage
Fighting Harada,Bantamweight,Orthodox,0.0983606557377,1337.41723027,1452.51732681,8,4,0.295081967213,0.885245901639
Virgil Akins,NA,NA,0.0978260869565,1241.91009344,1309.15863989,6,0,0.369565217391,0.641304347826
Maurice Sandeyron,NA,NA,0.0972222222222,1212.73721567,1325.24205944,7,0,0.0416666666667,0.597222222222
Yasutsune Uehara,Super Featherweight,Orthodox,0.0967741935484,1287.48692152,1351.96526228,2,1,0.612903225806,0.838709677419
Andre Berto,Welterweight,Orthodox,0.0967741935484,1291.37600386,1373.27743539,4,0,0.58064516129,0.903225806452
Vic Toweel,NA,NA,0.0967741935484,1249.64599858,1347.81290568,4,2,0.322580645161,0.870967741935
Tomasz Adamek,Heavyweight,Orthodox,0.0961538461538,1337.52178758,1457.87094036,8,2,0.480769230769,0.923076923077
Dwight Muhammad Qawi,Light Heavyweight,Orthodox,0.0961538461538,1296.43449504,1401.06617047,5,0,0.461538461538,0.788461538462
Miguel Canto,Flyweight,Orthodox,0.0958904109589,1244.12244637,1311.03676637,9,4,0.205479452055,0.835616438356
Raton Macias,NA,NA,0.0952380952381,1335.98848362,1428.25781611,0,0,0.595238095238,0.952380952381
Gene Fullmer,Middleweight,Orthodox,0.0952380952381,1311.79490225,1496.06849722,9,0,0.349206349206,0.857142857143
Terry Allen,Flyweight,Orthodox,0.0947368421053,1271.81431119,1414.10107413,6,0,0.189473684211,0.684210526316
Teddy Gardner,NA,NA,0.0947368421053,1208.87722639,1280.91913947,4,0,0.136842105263,0.610526315789
Jack Sharkey,Heavyweight,Orthodox,0.0944881889764,1218.41296615,1306.20870109,8,1,0.165354330709,0.488188976378
Sonny Liston,Heavyweight,Orthodox,0.0943396226415,1370.70064828,1481.29603192,10,2,0.641509433962,0.924528301887
Tommy McGlinchey,NA,NA,0.0943396226415,1238.50609938,1300.48275991,0,0,0.245283018868,0.603773584906
Jean Pascal,Light Heavyweight,Orthodox,0.09375,1273.36990645,1355.62512666,6,1,0.5,0.875
Bob Pastor,Heavyweight,Orthodox,0.09375,1314.3363416,1452.6728379,4,0,0.265625,0.8125
Don Jordan,Welterweight,Orthodox,0.0933333333333,1291.03287128,1380.79210781,3,2,0.226666666667,0.666666666667
Archie Bell,NA,NA,0.0927835051546,1220.54867588,1369.05031433,7,0,0.0618556701031,0.587628865979
Joey Medill,NA,NA,0.0925925925926,1239.752891,1322.75052323,2,0,0.0555555555556,0.703703703704
Carlos Monzon,Middleweight,Orthodox,0.0909090909091,1326.61536661,1465.41206967,9,7,0.545454545455,0.868686868687
Riddick Bowe,Heavyweight,Orthodox,0.0909090909091,1370.68318957,1487.44724642,7,0,0.659090909091,0.954545454545
Rudell Stitch,Welterweight,Orthodox,0.0909090909091,1291.46196854,1358.47835739,1,0,0.393939393939,0.787878787879
Eder Jofre,Bantamweight,Orthodox,0.0909090909091,1286.39306088,1413.2353796,13,3,0.558441558442,0.831168831169
Joel Casamayor,Lightweight,Southpaw,0.0909090909091,1291.62148312,1369.24926524,9,2,0.477272727273,0.840909090909
Doug Vaillant,NA,NA,0.0909090909091,1285.44949643,1362.41871231,0,0,0.363636363636,0.727272727273
Samuel Serrano,Super Featherweight,Orthodox,0.0909090909091,1288.82379081,1358.33795118,9,6,0.290909090909,0.890909090909
Henry Armstrong,Welterweight,Orthodox,0.0901287553648,1303.92468914,1482.97496298,9,3,0.480686695279,0.763948497854
Kid Gavilan,Welterweight,Orthodox,0.0896551724138,1265.78094354,1396.08432683,9,2,0.2,0.744827586207
Matthew Saad Muhammad,Light Heavyweight,Orthodox,0.089552238806,1239.06986807,1309.19362445,4,2,0.492537313433,0.701492537313
Zsolt Erdei,Light Heavyweight,Orthodox,0.0882352941176,1316.66199893,1408.21605667,7,0,0.441176470588,0.911764705882
Johnny Caldwell,Bantamweight,Orthodox,0.0882352941176,1301.08940815,1394.04058055,4,0,0.382352941176,0.823529411765
Bobby Valdez,Bantamweight,Orthodox,0.0882352941176,1261.20602111,1343.87629611,3,0,0.205882352941,0.647058823529
Ted Gordon,NA,NA,0.0882352941176,1183.52819725,1255.41709543,0,0,0.235294117647,0.705882352941
Eddie Perkins,Light Welterweight,Orthodox,0.0882352941176,1328.84915784,1451.64536086,12,2,0.196078431373,0.735294117647
Julio Cesar Chavez,Light Welterweight,Orthodox,0.088,1372.38220037,1582.45229522,15,4,0.656,0.864
Mike Tyson,Heavyweight,Orthodox,0.0877192982456,1356.6817784,1468.99222256,13,2,0.719298245614,0.859649122807
Adolph Pruitt,NA,NA,0.0877192982456,1258.69522624,1353.24879586,5,0,0.526315789474,0.771929824561
Max Baer,Heavyweight,Orthodox,0.0875,1345.1451302,1436.33456771,7,1,0.6125,0.825
Paul Armstead,NA,NA,0.0875,1257.80596459,1317.19538921,7,0,0.1625,0.675
Shinsuke Yamanaka,Bantamweight,Southpaw,0.0869565217391,1232.8597942,1283.2772155,3,0,0.652173913043,0.913043478261
